"country_code","description","title","id","company","adref","location","created"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Security Test Engineer in Austria. As a Security Test Engineer, you will play a key role in ensuring the robustness and integrity of advanced silicon and IP products. You will design and execute comprehensive test strategies, identify potential hardware vulnerabilities, and validate security features across complex systems. This role involves close collaboration with engineering, manufacturing, a…","Security Test Engineer (Remote from Austria)","5586892781","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4Njg5Mjc4MSIsInMiOiItT1MwRllfMDhCR0NRLVhMYmxjSDhRIn0.CK52t-vSvQhqglvhgaB9QJf9WOfbj0lpnEixCfncxjA","Österreich","2026-01-15T21:43:18Z"
"at","AOP Health is the European pioneer for integrated therapies for rare diseases and in critical care. To enhance our team in Vienna we are looking for a: As Serialization Manager / Serialization System Owner , you will have end-to-end responsibility for our serialization systems and processes . You will ensure stable, GMP-compliant system operations and act as a key interface between IT, Quality, Packaging, external partners, and regulatory authorities , supporting global market requirements. Wha…","Serialization Manager / Serialization System Owner (m/f/d)","5586892758","AOP Health","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyNzU4In0.XPjzZ57-jVtM-79eUgeF5X0KHePsXRX78CUuMfgocNQ","Döbling, Wien","2026-01-15T21:43:17Z"
"at","Avanade ist ein führender Anbieter von digitalen und Cloud-Diensten, Business Solutions und designorientierten Anwendungen. Als Joint Venture von Microsoft und Accenture sind wir das größte Beratungsunternehmen für Microsoft-Technologien. Wir unterstützen unsere Kunden in Cloud, Modern Workplace, Business Applications, Data & AI und Security und legen Wert auf unsere PeopleFirst Mentalität. Wir legen großen Wert auf leistungsorientierte sowie wettbewerbsfähige Entlohnung und bieten dir ein Verg…","(Senior) IT-Security Berater:in (w/m/x)","5586892677","Avanade Österreich Company","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyNjc3In0.Q-GTZRuUhK9Th0ZU1gsZ--GQ3XV1EcoBct3JtOu6W-4","Österreich","2026-01-15T21:43:12Z"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Data Engineer - REMOTE. In this role, you will design and implement scalable data solutions that empower the business to make data-driven decisions. You will play a crucial role in developing data pipelines and working with cutting-edge technologies on cloud platforms. This position offers an exciting opportunity to contribute to our client’s operational improvement by leveraging comprehensive da…","Data Engineer Role - REMOTE","5586892647","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4Njg5MjY0NyIsInMiOiItT1MwRllfMDhCR0NRLVhMYmxjSDhRIn0.KF24R2iDdkLVSmjagHi0PxlwzECiuVQbqkaQtLxjwaA","Österreich","2026-01-15T21:43:10Z"
"at","Your role at Dynatrace We offer this role as a full-time position, but are happy to consider part-time options starting from 30 hours per week ! You will work on services that process trace data from millions of OneAgent’s and from OpenTelemetry. Prototype, design, and implement new features in Java. Troubleshoot and resolve complex technical issues. You will be a part of the whole implementation process, starting with talks with Product Managers and Architects through design, coding, and relea…","Senior Java Engineer - Application Observability (m/f/x) - Full Time/Part Time","5586892520","Dynatrace","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyNTIwIn0._SOpcIYVvdtkapIepWuMa6BTIwB7rcu1aqkGaLTmUpM","Linz, Oberösterreich","2026-01-15T21:42:59Z"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Senior Software Engineer (Security) in Austria. As a Senior Software Engineer specializing in security, you will be instrumental in designing and implementing robust security features across large-scale platforms. You will work closely with product and engineering teams to enhance platform safety, prevent abuse, and ensure resilience against emerging threats. This role emphasizes hands-on develop…","Senior Software Engineer (Security) (Remote from Austria)","5586892516","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyNTE2In0.eaKP8iMXLl_upX4UHwtYyJCKUFpkgaOO58V9YGg9CKk","Österreich","2026-01-15T21:42:58Z"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Senior Backend Developer - Node.js in Austria. The Senior Backend Developer will play a key role in designing and maintaining the backend systems that power a high-performance, global digital asset platform. This role focuses on developing scalable, secure, and low-latency services while contributing to new features, integrations, and innovative product offerings. The ideal candidate thrives in a…","Senior Backend Developer - Node.js (Remote from Austria)","5586892316","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyMzE2In0.u7L7s3uCZZP-KJHqkl0J3PdysapAqY8ewQ_Twk4Zs0c","Österreich","2026-01-15T21:42:43Z"
"at","Application Deadline: Jan. 30, 2026 Vienna On-site Hourly salary: $30 - $38 Job Description Key Responsibilities Assist team leads with the installation, maintenance, and repair of emergency power systems, UPS systems, and a wide range of electrical equipment, fixtures, tools, and appliances. Support work on single- and three-phase electrical systems, including 120V, 208V, 277V, 480V, and 12,470V equipment, as well as signal, control, and low-voltage systems. Assist in diagnosing electrical sys…","Electrician","5586892113","247Hire","eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTU4Njg5MjExMyIsInMiOiItT1MwRllfMDhCR0NRLVhMYmxjSDhRIn0.SMX9NIDLeR9lggSvfLjSR8ceyPpmcVTpZ0vt-9eUO3E","Österreich","2026-01-15T21:42:29Z"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Data Analyst (Growth) in Austria. The Data Analyst (Growth) will play a pivotal role in driving data-informed decision-making for marketing, user acquisition, and product strategies. You will work with large, complex datasets to uncover actionable insights, monitor KPIs, and support growth initiatives across digital platforms. The role requires a highly analytical, proactive individual comfortabl…","Data Analyst (Growth)","5586892007","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkyMDA3In0.1Zi02Nbc9SJzwWw0A8PuFlrDp9XtY7m-L17easI5hDI","Österreich","2026-01-15T21:42:20Z"
"at","This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Distribution Expansion Manager - REMOTE. In this role, you will play a crucial part in driving revenue growth and expanding our market presence across Southern Europe. You will manage relationships with distribution partners, ensuring they have the tools and support necessary to succeed. Your ability to analyze market trends and sales data will help inform your strategies, making a significant im…","Distribution Partnerships Manager - REMOTE","5586891951","Jobgether","eyJhbGciOiJIUzI1NiJ9.eyJzIjoiLU9TMEZZXzA4QkdDUS1YTGJsY0g4USIsImkiOiI1NTg2ODkxOTUxIn0.dOWosRaKQgJkQ27yLJEBrIYDk9E98aZoo8J8T04BxNg","Österreich","2026-01-15T21:42:16Z"
